customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,product_interest,promotion_frequency,update_frequency
Aaron Bergman,3,415,887,4,4,4,444,joggers,Once a month,No updates
Aaron Hawkins,7,12,1744,1,2,3,123,jeans,Every 2 days,Every update
Aaron Smayling,7,88,3050,3,2,2,322,formals,Every 2 weeks,Updates on interest
Adam Bellavance,8,54,7756,2,2,1,221,hats,Every 2 days,Every update
Adam Hart,10,34,3249,2,1,2,212,oversize,Every week,Every update
Adam Shillingsburg,9,28,3256,1,1,2,112,joggers,Every 2 days,Every update
Adrian Barton,10,41,14474,2,1,1,211,shoes,Every 2 days,Every update
Adrian Hane,7,60,1734,2,2,3,223,tracksuits,Every 2 weeks,Updates on interest
Adrian Shami,2,41,59,2,4,4,244,joggers,Every 2 weeks,Updates on interest
Aimee Bixby,5,41,968,2,4,4,244,formals,Every 2 weeks,Updates on interest
Alan Barnes,8,25,1114,1,2,4,124,formals,Every 2 days,Every update
Alan Dominguez,8,29,6107,1,2,1,121,hats,Every 2 days,Every update
Alan Haines,4,55,1587,2,4,3,243,oversize,Every 2 weeks,Updates on interest
Alan Hwang,9,6,4806,1,1,1,111,jeans,Every 2 days,Every update
Alan Schoenberger,5,22,4261,1,4,1,141,hats,Every 2 days,Every update
Alan Shonely,7,192,585,4,2,4,424,hats,Every 2 weeks,Updates on interest
Alejandro Ballentine,9,166,914,3,1,4,314,tracksuits,Every week,Every update
Alejandro Grove,5,278,2584,4,4,2,442,polo,Every 2 weeks,Updates on interest
Alejandro Savely,6,19,3214,1,3,2,132,oversize,Every 2 days,Every update
Aleksandra Gannaway,4,118,368,3,4,4,344,shirt,Every 2 weeks,Updates on interest
Alex Avila,5,184,5564,4,4,1,441,hats,Every 2 days,Every update
Alex Grayson,5,8,662,1,4,4,144,polo,Every 2 days,Every update
Alex Russell,4,111,1056,3,4,4,344,shirt,Every 2 weeks,Updates on interest
Alice McCarthy,5,28,814,1,4,4,144,oversize,Every 2 days,Every update
Allen Armold,9,19,1057,1,1,4,114,hoodies,Every 2 days,Every update
Allen Goldenen,5,114,201,3,4,4,344,shoes,Every 2 weeks,Updates on interest
Allen Rosenblatt,5,125,2236,3,4,3,343,polo,Every 2 weeks,Updates on interest
Alyssa Crouse,3,232,926,4,4,4,444,trendy sections,Once a month,No updates
Alyssa Tate,6,21,1171,1,3,3,133,hoodies,Every 2 days,Every update
Amy Cox,7,11,5528,1,2,1,121,formals,Every 2 days,Every update
Amy Hunt,5,230,2496,4,4,2,442,formals,Every 2 weeks,Updates on interest
Andrew Allen,4,259,1791,4,4,3,443,shoes,Every 2 weeks,Updates on interest
Andrew Gjertsen,8,78,2356,3,2,2,322,tracksuits,Every 2 weeks,Updates on interest
Andrew Roberts,5,14,265,1,4,4,144,joggers,Every 2 days,Every update
Andy Gerbode,4,845,1456,4,4,3,443,jeans,Every 2 weeks,Updates on interest
Andy Reiter,6,6,6609,1,3,1,131,trendy sections,Every 2 days,Every update
Andy Yotov,4,14,497,1,4,4,144,tracksuits,Every 2 days,Every update
Anemone Ratner,1,534,88,4,4,4,444,oversize,Once a month,No updates
Angele Hood,4,21,738,1,4,4,144,tracksuits,Every 2 days,Every update
Ann Blume,4,50,1515,2,4,3,243,joggers,Every 2 weeks,Updates on interest
Ann Chong,5,6,2538,1,4,2,142,oversize,Every 2 days,Every update
Ann Steele,7,92,833,3,2,4,324,trendy sections,Every 2 weeks,Updates on interest
Anna Andreadi,6,55,5087,2,3,1,231,joggers,Every 2 days,Every update
Anna Chung,5,282,658,4,4,4,444,shirt,Once a month,No updates
Anna Gayman,7,97,3488,3,2,2,322,jeans,Every 2 weeks,Updates on interest
Anna Hberlin,12,410,7888,4,1,1,411,trendy sections,Every 2 days,Every update
Anne McFarland,8,162,5664,3,2,1,321,shirt,Every 2 days,Every update
Anne Pryor,8,41,1638,2,2,3,223,shoes,Every 2 weeks,Updates on interest
Annie Thurman,10,13,3831,1,1,1,111,trendy sections,Every 2 days,Every update
Annie Zypern,6,160,1623,3,3,3,333,shoes,Every 2 weeks,Updates on interest
Anthony Garverick,4,77,171,3,4,4,344,oversize,Every 2 weeks,Updates on interest
Anthony Jacobs,7,75,4868,2,2,1,221,shirt,Every 2 days,Every update
Anthony Johnson,7,166,4502,3,2,1,321,jeans,Every 2 days,Every update
Anthony O'Donnell,1,501,161,4,4,4,444,joggers,Once a month,No updates
Anthony Rawles,8,58,4523,2,2,1,221,hats,Every 2 days,Every update
Anthony Witt,4,20,649,1,4,4,144,tracksuits,Every 2 days,Every update
Arianne Irving,10,13,4376,1,1,1,111,hoodies,Every 2 days,Every update
Art Ferguson,7,41,2052,2,2,3,223,jeans,Every 2 weeks,Updates on interest
Art Foster,4,415,862,4,4,4,444,shirt,Once a month,No updates
Arthur Gainer,10,96,4511,3,1,1,311,hats,Every 2 days,Every update
Arthur Prichep,10,98,3324,3,1,2,312,jeans,Every week,Every update
Arthur Wiediger,7,46,2853,2,2,2,222,shirt,Every 2 weeks,Updates on interest
Ashley Jarboe,7,85,1838,3,2,3,323,polo,Every 2 weeks,Updates on interest
Astrea Jones,3,74,629,2,4,4,244,polo,Every 2 weeks,Updates on interest
Barbara Fisher,7,91,600,3,2,4,324,shoes,Every 2 weeks,Updates on interest
Barry Blumstein,5,105,744,3,4,4,344,jeans,Every 2 weeks,Updates on interest
Barry Franz,4,39,1334,2,4,3,243,polo,Every 2 weeks,Updates on interest
Barry Franzsisch,8,74,2889,2,2,2,222,shirt,Every 2 weeks,Updates on interest
Barry Gonzalez,8,28,2799,1,2,2,122,shoes,Every 2 days,Every update
Barry Pond,5,83,983,3,4,4,344,shirt,Every 2 weeks,Updates on interest
Barry Weirich,3,212,386,4,4,4,444,shoes,Once a month,No updates
Bart Folk,3,25,274,1,4,4,144,jeans,Every 2 days,Every update
Bart Pistole,12,17,2441,1,1,2,112,hats,Every 2 days,Every update
Bart Watters,8,121,4751,3,2,1,321,joggers,Every 2 days,Every update
Becky Castell,9,202,2934,4,1,2,412,trendy sections,Every week,Every update
Becky Martin,4,307,11790,4,4,1,441,hats,Every 2 days,Every update
Becky Pak,6,89,1698,3,3,3,333,oversize,Every 2 weeks,Updates on interest
Ben Ferrer,11,16,5907,1,1,1,111,shirt,Every 2 days,Every update
Ben Peterman,9,1,3675,1,1,2,112,oversize,Every 2 days,Every update
Ben Wallace,6,203,1739,4,3,3,433,hats,Every 2 weeks,Updates on interest
Benjamin Farhat,4,65,1586,2,4,3,243,shoes,Every 2 weeks,Updates on interest
Benjamin Patterson,5,39,1182,2,4,3,243,trendy sections,Every 2 weeks,Updates on interest
Benjamin Venier,5,334,1522,4,4,3,443,trendy sections,Every 2 weeks,Updates on interest
Berenike Kampe,6,77,660,3,3,4,334,hoodies,Every 2 weeks,Updates on interest
Beth Fritzler,3,57,792,2,4,4,244,trendy sections,Every 2 weeks,Updates on interest
Beth Paige,7,12,2474,1,2,2,122,joggers,Every 2 days,Every update
Beth Thompson,5,336,2568,4,4,2,442,trendy sections,Every 2 weeks,Updates on interest
Bill Donatelli,12,33,5719,2,1,1,211,hats,Every 2 days,Every update
Bill Eplett,5,119,4205,3,4,1,341,hoodies,Every 2 days,Every update
Bill Overfelt,5,137,2684,3,4,2,342,hats,Every 2 weeks,Updates on interest
Bill Shonely,5,558,10502,4,4,1,441,hats,Every 2 days,Every update
Bill Stewart,5,28,3888,1,4,1,141,formals,Every 2 days,Every update
Bill Tyler,6,302,2187,4,3,3,433,tracksuits,Every 2 weeks,Updates on interest
