customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Customer_Segment,Email_Frequency,Email_Type
Aaron Bergman,3,415,887,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Aaron Hawkins,7,12,1744,1,2,3,123,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Aaron Smayling,7,88,3050,3,2,2,322,Active Loyals,Weekly,Personalized updates and loyalty rewards
Adam Bellavance,8,54,7756,2,2,1,221,Active Loyals,Weekly,Personalized updates and loyalty rewards
Adam Hart,10,34,3249,2,1,2,212,Active Loyals,Weekly,Personalized updates and loyalty rewards
Adam Shillingsburg,9,28,3256,1,1,2,112,Active Loyals,Weekly,Personalized updates and loyalty rewards
Adrian Barton,10,41,14474,2,1,1,211,Active Loyals,Weekly,Personalized updates and loyalty rewards
Adrian Hane,7,60,1734,2,2,3,223,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Adrian Shami,2,41,59,2,4,4,244,Discount Seekers,Weekly,Discount offers
Aimee Bixby,5,41,968,2,4,4,244,Discount Seekers,Weekly,Discount offers
Alan Barnes,8,25,1114,1,2,4,124,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Alan Dominguez,8,29,6107,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Alan Haines,4,55,1587,2,4,3,243,Discount Seekers,Weekly,Discount offers
Alan Hwang,9,6,4806,1,1,1,111,Active Loyals,Weekly,Personalized updates and loyalty rewards
Alan Schoenberger,5,22,4261,1,4,1,141,Discount Seekers,Weekly,Discount offers
Alan Shonely,7,192,585,4,2,4,424,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Alejandro Ballentine,9,166,914,3,1,4,314,Loyals at Risk,Bi-weekly,Re-engagement campaigns
Alejandro Grove,5,278,2584,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Alejandro Savely,6,19,3214,1,3,2,132,Discount Seekers,Weekly,Discount offers
Aleksandra Gannaway,4,118,368,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Alex Avila,5,184,5564,4,4,1,441,Churn Candidates,Monthly,High-impact reactivation emails
Alex Grayson,5,8,662,1,4,4,144,Discount Seekers,Weekly,Discount offers
Alex Russell,4,111,1056,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Alice McCarthy,5,28,814,1,4,4,144,Discount Seekers,Weekly,Discount offers
Allen Armold,9,19,1057,1,1,4,114,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Allen Goldenen,5,114,201,3,4,4,344,Churn Candidates,Monthly,High-impact reactivation emails
Allen Rosenblatt,5,125,2236,3,4,3,343,Churn Candidates,Monthly,High-impact reactivation emails
Alyssa Crouse,3,232,926,4,4,4,444,Churn Candidates,Monthly,High-impact reactivation emails
Alyssa Tate,6,21,1171,1,3,3,133,Discount Seekers,Weekly,Discount offers
Amy Cox,7,11,5528,1,2,1,121,Active Loyals,Weekly,Personalized updates and loyalty rewards
Amy Hunt,5,230,2496,4,4,2,442,Churn Candidates,Monthly,High-impact reactivation emails
Andrew Allen,4,259,1791,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Andrew Gjertsen,8,78,2356,3,2,2,322,Bulk Shoppers,Bi-weekly,Bulk purchase deals
Andrew Roberts,5,14,265,1,4,4,144,Discount Seekers,Weekly,Discount offers
Andy Gerbode,4,845,1456,4,4,3,443,Churn Candidates,Monthly,High-impact reactivation emails
Andy Reiter,6,6,6609,1,3,1,131,Discount Seekers,Weekly,Discount offers
Andy Yotov,4,14,497,1,4,4,144,Discount Seekers,Weekly,Discount offers
